batsmen,Batting Pos,out_notout,runs,balls,fours,sixes,sr,team,Match_id,Ground,Date
Devon Conway,1,out,1,6.0,0.0,0.0,16.66,Chennai Super Kings,1st, Ahmedabad, March 31
Ruturaj Gaikwad,2,out,92,50.0,4.0,9.0,184,Chennai Super Kings,1st, Ahmedabad, March 31
Moeen Ali,3,out,23,17.0,4.0,1.0,135.29,Chennai Super Kings,1st, Ahmedabad, March 31
Ben Stokes,4,out,7,6.0,1.0,0.0,116.66,Chennai Super Kings,1st, Ahmedabad, March 31
Ambati Rayudu,5,out,12,12.0,0.0,1.0,100,Chennai Super Kings,1st, Ahmedabad, March 31
Shivam Dube,6,out,19,18.0,0.0,1.0,105.55,Chennai Super Kings,1st, Ahmedabad, March 31
Ravindra Jadeja,7,out,1,2.0,0.0,0.0,50,Chennai Super Kings,1st, Ahmedabad, March 31
MS Dhoni (c)†,8,not out,14,7.0,1.0,1.0,200,Chennai Super Kings,1st, Ahmedabad, March 31
Mitchell Santner,9,not out,1,3.0,0.0,0.0,33.33,Chennai Super Kings,1st, Ahmedabad, March 31
Wriddhiman Saha †,1,out,25,16.0,2.0,2.0,156.25,Gujarat Titans,1st, Ahmedabad, March 31
Shubman Gill,2,out,63,36.0,6.0,3.0,175,Gujarat Titans,1st, Ahmedabad, March 31
Sai Sudharsan,3,out,22,17.0,3.0,0.0,129.41,Gujarat Titans,1st, Ahmedabad, March 31
Hardik Pandya (c),4,out,8,11.0,0.0,0.0,72.72,Gujarat Titans,1st, Ahmedabad, March 31
Vijay Shankar,5,out,27,21.0,2.0,1.0,128.57,Gujarat Titans,1st, Ahmedabad, March 31
Rahul Tewatia,6,not out,15,14.0,1.0,1.0,107.14,Gujarat Titans,1st, Ahmedabad, March 31
Rashid Khan,7,not out,10,3.0,1.0,1.0,333.33,Gujarat Titans,1st, Ahmedabad, March 31
Prabhsimran Singh,1,out,23,12.0,2.0,2.0,191.66,Punjab Kings,2nd, Mohali, April 01
Shikhar Dhawan (c),2,out,40,29.0,6.0,0.0,137.93,Punjab Kings,2nd, Mohali, April 01
Bhanuka Rajapaksa,3,out,50,32.0,5.0,2.0,156.25,Punjab Kings,2nd, Mohali, April 01
Jitesh Sharma †,4,out,21,11.0,1.0,2.0,190.9,Punjab Kings,2nd, Mohali, April 01
Sikandar Raza,5,out,16,13.0,1.0,1.0,123.07,Punjab Kings,2nd, Mohali, April 01
Sam Curran,6,not out,26,17.0,0.0,2.0,152.94,Punjab Kings,2nd, Mohali, April 01
M Shahrukh Khan,7,not out,11,7.0,2.0,0.0,157.14,Punjab Kings,2nd, Mohali, April 01
Mandeep Singh,1,out,2,4.0,0.0,0.0,50,Kolkata Knight Riders,2nd, Mohali, April 01
Rahmanullah Gurbaz †,2,out,22,16.0,3.0,1.0,137.5,Kolkata Knight Riders,2nd, Mohali, April 01
Anukul Roy,3,out,4,5.0,1.0,0.0,80,Kolkata Knight Riders,2nd, Mohali, April 01
Venkatesh Iyer,4,out,34,28.0,3.0,1.0,121.42,Kolkata Knight Riders,2nd, Mohali, April 01
Nitish Rana (c),5,out,24,17.0,3.0,1.0,141.17,Kolkata Knight Riders,2nd, Mohali, April 01
Rinku Singh,6,out,4,4.0,0.0,0.0,100,Kolkata Knight Riders,2nd, Mohali, April 01
Andre Russell,7,out,35,19.0,3.0,2.0,184.21,Kolkata Knight Riders,2nd, Mohali, April 01
Shardul Thakur,8,not out,8,3.0,0.0,1.0,266.66,Kolkata Knight Riders,2nd, Mohali, April 01
Sunil Narine,9,not out,7,2.0,0.0,1.0,350,Kolkata Knight Riders,2nd, Mohali, April 01
KL Rahul (c),1,out,8,12.0,0.0,1.0,66.66,Lucknow Super Giants,3rd, Lucknow, April 01
Kyle Mayers,2,out,73,38.0,2.0,7.0,192.1,Lucknow Super Giants,3rd, Lucknow, April 01
Deepak Hooda,3,out,17,18.0,0.0,0.0,94.44,Lucknow Super Giants,3rd, Lucknow, April 01
Krunal Pandya,4,not out,15,13.0,0.0,1.0,115.38,Lucknow Super Giants,3rd, Lucknow, April 01
Marcus Stoinis,5,out,12,10.0,0.0,1.0,120,Lucknow Super Giants,3rd, Lucknow, April 01
Nicholas Pooran †,6,out,36,21.0,2.0,3.0,171.42,Lucknow Super Giants,3rd, Lucknow, April 01
Ayush Badoni,7,out,18,7.0,1.0,2.0,257.14,Lucknow Super Giants,3rd, Lucknow, April 01
Krishnappa Gowtham,8,not out,6,1.0,0.0,1.0,600,Lucknow Super Giants,3rd, Lucknow, April 01
Prithvi Shaw,1,out,12,9.0,2.0,0.0,133.33,Delhi Capitals,3rd, Lucknow, April 01
David Warner (c),2,out,56,48.0,7.0,0.0,116.66,Delhi Capitals,3rd, Lucknow, April 01
Mitchell Marsh,3,out,0,1.0,0.0,0.0,0,Delhi Capitals,3rd, Lucknow, April 01
Sarfaraz Khan †,4,out,4,9.0,1.0,0.0,44.44,Delhi Capitals,3rd, Lucknow, April 01
Rilee Rossouw,5,out,30,20.0,3.0,1.0,150,Delhi Capitals,3rd, Lucknow, April 01
Rovman Powell,6,out,1,3.0,0.0,0.0,33.33,Delhi Capitals,3rd, Lucknow, April 01
Aman Hakim Khan,7,out,4,5.0,0.0,0.0,80,Delhi Capitals,3rd, Lucknow, April 01
Axar Patel,8,out,16,11.0,1.0,1.0,145.45,Delhi Capitals,3rd, Lucknow, April 01
Kuldeep Yadav,9,not out,6,10.0,0.0,0.0,60,Delhi Capitals,3rd, Lucknow, April 01
Chetan Sakariya,10,out,4,4.0,1.0,0.0,100,Delhi Capitals,3rd, Lucknow, April 01
Mukesh Kumar,11,not out,0,1.0,0.0,0.0,0,Delhi Capitals,3rd, Lucknow, April 01
Yashasvi Jaiswal,1,out,54,37.0,9.0,0.0,145.94,Rajasthan Royals,4th, Hyderabad, April 02
Jos Buttler,2,out,54,22.0,7.0,3.0,245.45,Rajasthan Royals,4th, Hyderabad, April 02
Sanju Samson (c)†,3,out,55,32.0,3.0,4.0,171.87,Rajasthan Royals,4th, Hyderabad, April 02
Devdutt Padikkal,4,out,2,5.0,0.0,0.0,40,Rajasthan Royals,4th, Hyderabad, April 02
Riyan Parag,5,out,7,6.0,1.0,0.0,116.66,Rajasthan Royals,4th, Hyderabad, April 02
Shimron Hetmyer,6,not out,22,16.0,1.0,1.0,137.5,Rajasthan Royals,4th, Hyderabad, April 02
Ravichandran Ashwin,7,not out,1,2.0,0.0,0.0,50,Rajasthan Royals,4th, Hyderabad, April 02
Abhishek Sharma,1,out,0,3.0,0.0,0.0,0,Sunrisers Hyderabad,4th, Hyderabad, April 02
Mayank Agarwal,2,out,27,23.0,3.0,0.0,117.39,Sunrisers Hyderabad,4th, Hyderabad, April 02
Rahul Tripathi,3,out,0,2.0,0.0,0.0,0,Sunrisers Hyderabad,4th, Hyderabad, April 02
Harry Brook,4,out,13,21.0,1.0,0.0,61.9,Sunrisers Hyderabad,4th, Hyderabad, April 02
Washington Sundar,5,out,1,5.0,0.0,0.0,20,Sunrisers Hyderabad,4th, Hyderabad, April 02
Glenn Phillips †,6,out,8,6.0,0.0,1.0,133.33,Sunrisers Hyderabad,4th, Hyderabad, April 02
Abdul Samad,7,not out,32,32.0,2.0,1.0,100,Sunrisers Hyderabad,4th, Hyderabad, April 02
Adil Rashid,8,out,18,13.0,1.0,1.0,138.46,Sunrisers Hyderabad,4th, Hyderabad, April 02
Bhuvneshwar Kumar (c),9,out,6,10.0,0.0,0.0,60,Sunrisers Hyderabad,4th, Hyderabad, April 02
Umran Malik,10,not out,19,8.0,1.0,2.0,237.5,Sunrisers Hyderabad,4th, Hyderabad, April 02
Rohit Sharma (c),1,out,1,10.0,0.0,0.0,10,Mumbai Indians,5th, Bengaluru, April 02
Ishan Kishan †,2,out,10,13.0,2.0,0.0,76.92,Mumbai Indians,5th, Bengaluru, April 02
Cameron Green,3,out,5,4.0,1.0,0.0,125,Mumbai Indians,5th, Bengaluru, April 02
Suryakumar Yadav,4,out,15,16.0,1.0,0.0,93.75,Mumbai Indians,5th, Bengaluru, April 02
Tilak Varma,5,not out,84,46.0,9.0,4.0,182.6,Mumbai Indians,5th, Bengaluru, April 02
Nehal Wadhera,6,out,21,13.0,1.0,2.0,161.53,Mumbai Indians,5th, Bengaluru, April 02
Tim David,7,out,4,7.0,0.0,0.0,57.14,Mumbai Indians,5th, Bengaluru, April 02
Hrithik Shokeen,8,out,5,3.0,1.0,0.0,166.66,Mumbai Indians,5th, Bengaluru, April 02
Arshad Khan,9,not out,15,9.0,0.0,1.0,166.66,Mumbai Indians,5th, Bengaluru, April 02
Virat Kohli,1,not out,82,49.0,6.0,5.0,167.34,Royal Challengers Bangalore,5th, Bengaluru, April 02
Faf du Plessis (c),2,out,73,43.0,5.0,6.0,169.76,Royal Challengers Bangalore,5th, Bengaluru, April 02
Dinesh Karthik †,3,out,0,3.0,0.0,0.0,0,Royal Challengers Bangalore,5th, Bengaluru, April 02
Glenn Maxwell,4,not out,12,3.0,0.0,2.0,400,Royal Challengers Bangalore,5th, Bengaluru, April 02
Ruturaj Gaikwad,1,out,57,31.0,3.0,4.0,183.87,Chennai Super Kings,6th, Chennai, April 03
Devon Conway,2,out,47,29.0,5.0,2.0,162.06,Chennai Super Kings,6th, Chennai, April 03
Shivam Dube,3,out,27,16.0,1.0,3.0,168.75,Chennai Super Kings,6th, Chennai, April 03
Moeen Ali,4,out,19,13.0,3.0,0.0,146.15,Chennai Super Kings,6th, Chennai, April 03
Ben Stokes,5,out,8,8.0,1.0,0.0,100,Chennai Super Kings,6th, Chennai, April 03
Ambati Rayudu,6,not out,27,14.0,2.0,2.0,192.85,Chennai Super Kings,6th, Chennai, April 03
Ravindra Jadeja,7,out,3,6.0,0.0,0.0,50,Chennai Super Kings,6th, Chennai, April 03
MS Dhoni (c)†,8,out,12,3.0,0.0,2.0,400,Chennai Super Kings,6th, Chennai, April 03
Mitchell Santner,9,not out,1,1.0,0.0,0.0,100,Chennai Super Kings,6th, Chennai, April 03
KL Rahul (c),1,out,20,18.0,2.0,0.0,111.11,Lucknow Super Giants,6th, Chennai, April 03
Kyle Mayers,2,out,53,22.0,8.0,2.0,240.9,Lucknow Super Giants,6th, Chennai, April 03
Deepak Hooda,3,out,2,6.0,0.0,0.0,33.33,Lucknow Super Giants,6th, Chennai, April 03
Krunal Pandya,4,out,9,9.0,0.0,1.0,100,Lucknow Super Giants,6th, Chennai, April 03
Marcus Stoinis,5,out,21,18.0,0.0,1.0,116.66,Lucknow Super Giants,6th, Chennai, April 03
Nicholas Pooran †,6,out,32,18.0,2.0,3.0,177.77,Lucknow Super Giants,6th, Chennai, April 03
Ayush Badoni,7,out,23,18.0,0.0,0.0,127.77,Lucknow Super Giants,6th, Chennai, April 03
Krishnappa Gowtham,8,not out,17,11.0,0.0,1.0,154.54,Lucknow Super Giants,6th, Chennai, April 03
Mark Wood,9,not out,10,3.0,1.0,1.0,333.33,Lucknow Super Giants,6th, Chennai, April 03
David Warner (c),1,out,37,32.0,7.0,0.0,115.62,Delhi Capitals,7th, Delhi, April 04
Prithvi Shaw,2,out,7,5.0,1.0,0.0,140,Delhi Capitals,7th, Delhi, April 04
Mitchell Marsh,3,out,4,4.0,1.0,0.0,100,Delhi Capitals,7th, Delhi, April 04
Sarfaraz Khan,4,out,30,34.0,2.0,0.0,88.23,Delhi Capitals,7th, Delhi, April 04
Rilee Rossouw,5,out,0,1.0,0.0,0.0,0,Delhi Capitals,7th, Delhi, April 04
Abishek Porel †,6,out,20,11.0,0.0,2.0,181.81,Delhi Capitals,7th, Delhi, April 04
Axar Patel,7,out,36,22.0,2.0,3.0,163.63,Delhi Capitals,7th, Delhi, April 04
Aman Hakim Khan,8,out,8,8.0,0.0,1.0,100,Delhi Capitals,7th, Delhi, April 04
Kuldeep Yadav,9,not out,1,1.0,0.0,0.0,100,Delhi Capitals,7th, Delhi, April 04
Anrich Nortje,10,not out,4,2.0,1.0,0.0,200,Delhi Capitals,7th, Delhi, April 04
Wriddhiman Saha †,1,out,14,7.0,2.0,1.0,200,Gujarat Titans,7th, Delhi, April 04
Shubman Gill,2,out,14,13.0,3.0,0.0,107.69,Gujarat Titans,7th, Delhi, April 04
Sai Sudharsan,3,not out,62,48.0,4.0,2.0,129.16,Gujarat Titans,7th, Delhi, April 04
Hardik Pandya (c),4,out,5,4.0,1.0,0.0,125,Gujarat Titans,7th, Delhi, April 04
Vijay Shankar,5,out,29,23.0,3.0,0.0,126.08,Gujarat Titans,7th, Delhi, April 04
David Miller,6,not out,31,16.0,2.0,2.0,193.75,Gujarat Titans,7th, Delhi, April 04
Prabhsimran Singh,1,out,60,34.0,7.0,3.0,176.47,Punjab Kings,8th, Guwahati, April 05
Shikhar Dhawan (c),2,not out,86,56.0,9.0,3.0,153.57,Punjab Kings,8th, Guwahati, April 05
Bhanuka Rajapaksa,3,out,1,1.0,0.0,0.0,100,Punjab Kings,8th, Guwahati, April 05
Jitesh Sharma †,4,out,27,16.0,2.0,1.0,168.75,Punjab Kings,8th, Guwahati, April 05
Sikandar Raza,5,out,1,2.0,0.0,0.0,50,Punjab Kings,8th, Guwahati, April 05
M Shahrukh Khan,6,out,11,10.0,1.0,0.0,110,Punjab Kings,8th, Guwahati, April 05
Sam Curran,7,not out,1,2.0,0.0,0.0,50,Punjab Kings,8th, Guwahati, April 05
Yashasvi Jaiswal,1,out,11,8.0,1.0,1.0,137.5,Rajasthan Royals,8th, Guwahati, April 05
Ravichandran Ashwin,2,out,0,4.0,0.0,0.0,0,Rajasthan Royals,8th, Guwahati, April 05
Jos Buttler,3,out,19,11.0,1.0,1.0,172.72,Rajasthan Royals,8th, Guwahati, April 05
Sanju Samson (c)†,4,out,42,25.0,5.0,1.0,168,Rajasthan Royals,8th, Guwahati, April 05
Devdutt Padikkal,5,out,21,26.0,1.0,0.0,80.76,Rajasthan Royals,8th, Guwahati, April 05
Riyan Parag,6,out,20,12.0,1.0,2.0,166.66,Rajasthan Royals,8th, Guwahati, April 05
Shimron Hetmyer,7,out,36,18.0,1.0,3.0,200,Rajasthan Royals,8th, Guwahati, April 05
Dhruv Jurel,8,not out,32,15.0,3.0,2.0,213.33,Rajasthan Royals,8th, Guwahati, April 05
Jason Holder,9,not out,1,1.0,0.0,0.0,100,Rajasthan Royals,8th, Guwahati, April 05
Rahmanullah Gurbaz †,1,out,57,44.0,6.0,3.0,129.54,Kolkata Knight Riders,9th, Eden Gardens, April 06
Venkatesh Iyer,2,out,3,7.0,0.0,0.0,42.85,Kolkata Knight Riders,9th, Eden Gardens, April 06
Mandeep Singh,3,out,0,1.0,0.0,0.0,0,Kolkata Knight Riders,9th, Eden Gardens, April 06
Nitish Rana (c),4,out,1,5.0,0.0,0.0,20,Kolkata Knight Riders,9th, Eden Gardens, April 06
Rinku Singh,5,out,46,33.0,2.0,3.0,139.39,Kolkata Knight Riders,9th, Eden Gardens, April 06
Andre Russell,6,out,0,1.0,0.0,0.0,0,Kolkata Knight Riders,9th, Eden Gardens, April 06
Shardul Thakur,7,out,68,29.0,9.0,3.0,234.48,Kolkata Knight Riders,9th, Eden Gardens, April 06
Sunil Narine,8,not out,0,1.0,0.0,0.0,0,Kolkata Knight Riders,9th, Eden Gardens, April 06
Umesh Yadav,9,not out,6,2.0,1.0,0.0,300,Kolkata Knight Riders,9th, Eden Gardens, April 06
Virat Kohli,1,out,21,18.0,3.0,0.0,116.66,Royal Challengers Bangalore,9th, Eden Gardens, April 06
Faf du Plessis (c),2,out,23,12.0,2.0,2.0,191.66,Royal Challengers Bangalore,9th, Eden Gardens, April 06
Michael Bracewell,3,out,19,18.0,1.0,1.0,105.55,Royal Challengers Bangalore,9th, Eden Gardens, April 06
Glenn Maxwell,4,out,5,7.0,1.0,0.0,71.42,Royal Challengers Bangalore,9th, Eden Gardens, April 06
Harshal Patel,5,out,0,2.0,0.0,0.0,0,Royal Challengers Bangalore,9th, Eden Gardens, April 06
Shahbaz Ahmed,6,out,1,5.0,0.0,0.0,20,Royal Challengers Bangalore,9th, Eden Gardens, April 06
Dinesh Karthik †,7,out,9,8.0,1.0,0.0,112.5,Royal Challengers Bangalore,9th, Eden Gardens, April 06
Anuj Rawat,8,out,1,5.0,0.0,0.0,20,Royal Challengers Bangalore,9th, Eden Gardens, April 06
David Willey,9,not out,20,20.0,2.0,0.0,100,Royal Challengers Bangalore,9th, Eden Gardens, April 06
