bowler,overs,runs,wickets,maidens,economy,dot_balls,fours,sixes,wide_balls,no_balls,Match_id,team
Mohammed Shami,4.0,29.0,2,0.0,7.25,13.0,2.0,2.0,0.0,1.0,1st,Gujarat Titans
Hardik Pandya,3.0,28.0,0,0.0,9.33,6.0,2.0,2.0,0.0,0.0,1st,Gujarat Titans
Josh Little,4.0,41.0,1,0.0,10.25,10.0,4.0,3.0,0.0,0.0,1st,Gujarat Titans
Rashid Khan,4.0,26.0,2,0.0,6.5,10.0,2.0,1.0,0.0,0.0,1st,Gujarat Titans
Alzarri Joseph,4.0,33.0,2,0.0,8.25,8.0,0.0,3.0,0.0,0.0,1st,Gujarat Titans
Yash Dayal,1.0,14.0,0,0.0,14.0,2.0,0.0,2.0,0.0,0.0,1st,Gujarat Titans
Deepak Chahar,4.0,29.0,0,0.0,7.25,9.0,1.0,2.0,0.0,0.0,1st,Chennai Super Kings
Tushar Deshpande,3.2,51.0,1,0.0,15.3,5.0,4.0,4.0,1.0,1.0,1st,Chennai Super Kings
Rajvardhan Hangargekar,4.0,36.0,3,0.0,9.0,10.0,4.0,1.0,3.0,1.0,1st,Chennai Super Kings
Mitchell Santner,4.0,32.0,0,0.0,8.0,7.0,5.0,0.0,0.0,0.0,1st,Chennai Super Kings
Ravindra Jadeja,4.0,28.0,1,0.0,7.0,9.0,1.0,1.0,0.0,0.0,1st,Chennai Super Kings
Umesh Yadav,4.0,27.0,1,0.0,6.75,11.0,2.0,1.0,0.0,0.0,2nd,Kolkata Knight Riders
Tim Southee,4.0,54.0,2,0.0,13.5,7.0,6.0,3.0,0.0,0.0,2nd,Kolkata Knight Riders
Sunil Narine,4.0,40.0,1,0.0,10.0,8.0,3.0,2.0,1.0,0.0,2nd,Kolkata Knight Riders
Varun Chakravarthy,4.0,26.0,1,0.0,6.5,10.0,2.0,1.0,1.0,0.0,2nd,Kolkata Knight Riders
Shardul Thakur,4.0,43.0,0,0.0,10.75,7.0,4.0,2.0,0.0,1.0,2nd,Kolkata Knight Riders
Sam Curran,3.0,38.0,1,0.0,12.66,4.0,3.0,3.0,0.0,0.0,2nd,Punjab Kings
Arshdeep Singh,3.0,19.0,3,0.0,6.33,10.0,2.0,1.0,0.0,0.0,2nd,Punjab Kings
Nathan Ellis,3.0,27.0,1,0.0,9.0,8.0,2.0,1.0,0.0,2.0,2nd,Punjab Kings
Sikandar Raza,3.0,25.0,1,0.0,8.33,5.0,3.0,0.0,1.0,0.0,2nd,Punjab Kings
Rishi Dhawan,1.0,15.0,0,0.0,15.0,2.0,2.0,1.0,0.0,0.0,2nd,Punjab Kings
Rahul Chahar,2.0,12.0,1,0.0,6.0,5.0,0.0,1.0,0.0,0.0,2nd,Punjab Kings
Harpreet Brar,1.0,7.0,0,0.0,7.0,3.0,1.0,0.0,0.0,0.0,2nd,Punjab Kings
Khaleel Ahmed,4.0,30.0,2,0.0,7.5,15.0,3.0,2.0,1.0,0.0,3rd,Delhi Capitals
Mukesh Kumar,4.0,34.0,0,0.0,8.5,5.0,0.0,2.0,1.0,0.0,3rd,Delhi Capitals
Chetan Sakariya,4.0,53.0,2,0.0,13.25,8.0,1.0,6.0,3.0,0.0,3rd,Delhi Capitals
Axar Patel,4.0,38.0,1,0.0,9.5,8.0,1.0,3.0,0.0,0.0,3rd,Delhi Capitals
Kuldeep Yadav,4.0,35.0,1,0.0,8.75,7.0,0.0,3.0,0.0,0.0,3rd,Delhi Capitals
Kyle Mayers,1.0,7.0,0,0.0,7.0,3.0,1.0,0.0,1.0,0.0,3rd,Lucknow Super Giants
Jaydev Unadkat,3.0,39.0,0,0.0,13.0,3.0,5.0,0.0,2.0,0.0,3rd,Lucknow Super Giants
