Batsman Name,Batting Pos,selection1_batsmen_Out_NotOut,selection1_batsmen_Runs,selection1_batsmen_Balls,selection1_batsmen_Fours,selection1_batsmen_Sixes,selection1_batsmen_Strike_Rate,selection1_batsmen_Team,selection1_batsmen_Match_No,Ground,Date
Devon Conway,1,b Mohammed Shami,1,6,0,0,16.66,Chennai Super Kings,1st Match (N), Ahmedabad, March 31
Ruturaj Gaikwad,2,c Shubman Gill b Joseph,92,50,4,9,184,Chennai Super Kings,1st Match (N), Ahmedabad, March 31
Moeen Ali,3,c †Saha b Rashid Khan,23,17,4,1,135.29,Chennai Super Kings,1st Match (N), Ahmedabad, March 31
Ben Stokes,4,c †Saha b Rashid Khan,7,6,1,0,116.66,Chennai Super Kings,1st Match (N), Ahmedabad, March 31
Ambati Rayudu,5,b Little,12,12,0,1,100,Chennai Super Kings,1st Match (N), Ahmedabad, March 31
Shivam Dube,6,c Rashid Khan b Mohammed Shami,19,18,0,1,105.55,Chennai Super Kings,1st Match (N), Ahmedabad, March 31
Ravindra Jadeja,7,c Shankar b Joseph,1,2,0,0,50,Chennai Super Kings,1st Match (N), Ahmedabad, March 31
MS Dhoni (c)†,8,not out,14,7,1,1,200,Chennai Super Kings,1st Match (N), Ahmedabad, March 31
Mitchell Santner,9,not out,1,3,0,0,33.33,Chennai Super Kings,1st Match (N), Ahmedabad, March 31
Wriddhiman Saha †,1,c Dube b Hangargekar,25,16,2,2,156.25,Gujarat Titans,1st Match (N), Ahmedabad, March 31
Shubman Gill,2,c Gaikwad b Deshpande,63,36,6,3,175,Gujarat Titans,1st Match (N), Ahmedabad, March 31
Sai Sudharsan,3,c †Dhoni b Hangargekar,22,17,3,0,129.41,Gujarat Titans,1st Match (N), Ahmedabad, March 31
Hardik Pandya (c),4,b Jadeja,8,11,0,0,72.72,Gujarat Titans,1st Match (N), Ahmedabad, March 31
Vijay Shankar,5,c Santner b Hangargekar,27,21,2,1,128.57,Gujarat Titans,1st Match (N), Ahmedabad, March 31
Rahul Tewatia,6,not out,15,14,1,1,107.14,Gujarat Titans,1st Match (N), Ahmedabad, March 31
Rashid Khan,7,not out,10,3,1,1,333.33,Gujarat Titans,1st Match (N), Ahmedabad, March 31
Prabhsimran Singh,1,c †Rahmanullah Gurbaz b Southee,23,12,2,2,191.66,Punjab Kings,2nd Match (D/N), Mohali, April 01
Shikhar Dhawan (c),2,b Varun,40,29,6,0,137.93,Punjab Kings,2nd Match (D/N), Mohali, April 01
Bhanuka Rajapaksa,3,c Singh b Yadav,50,32,5,2,156.25,Punjab Kings,2nd Match (D/N), Mohali, April 01
Jitesh Sharma †,4,c Yadav b Southee,21,11,1,2,190.9,Punjab Kings,2nd Match (D/N), Mohali, April 01
Sikandar Raza,5,c Rana b Narine,16,13,1,1,123.07,Punjab Kings,2nd Match (D/N), Mohali, April 01
Sam Curran,6,not out,26,17,0,2,152.94,Punjab Kings,2nd Match (D/N), Mohali, April 01
M Shahrukh Khan,7,not out,11,7,2,0,157.14,Punjab Kings,2nd Match (D/N), Mohali, April 01
Mandeep Singh,1,c Curran b Arshdeep Singh,2,4,0,0,50,Kolkata Knight Riders,2nd Match (D/N), Mohali, April 01
Rahmanullah Gurbaz †,2,b Ellis,22,16,3,1,137.5,Kolkata Knight Riders,2nd Match (D/N), Mohali, April 01
Anukul Roy,3,c Sikandar Raza b Arshdeep Singh,4,5,1,0,80,Kolkata Knight Riders,2nd Match (D/N), Mohali, April 01
Venkatesh Iyer,4,c Chahar b Arshdeep Singh,34,28,3,1,121.42,Kolkata Knight Riders,2nd Match (D/N), Mohali, April 01
Nitish Rana (c),5,c Chahar b Sikandar Raza,24,17,3,1,141.17,Kolkata Knight Riders,2nd Match (D/N), Mohali, April 01
Rinku Singh,6,c Sikandar Raza b Chahar,4,4,0,0,100,Kolkata Knight Riders,2nd Match (D/N), Mohali, April 01
Andre Russell,7,c Sikandar Raza b Curran,35,19,3,2,184.21,Kolkata Knight Riders,2nd Match (D/N), Mohali, April 01
Shardul Thakur,8,not out,8,3,0,1,266.66,Kolkata Knight Riders,2nd Match (D/N), Mohali, April 01
Sunil Narine,9,not out,7,2,0,1,350,Kolkata Knight Riders,2nd Match (D/N), Mohali, April 01
KL Rahul (c),1,c Patel b Sakariya,8,12,0,1,66.66,Lucknow Super Giants,3rd Match (N), Lucknow, April 01
Kyle Mayers,2,b Patel,73,38,2,7,192.1,Lucknow Super Giants,3rd Match (N), Lucknow, April 01
Deepak Hooda,3,c Warner b Kuldeep Yadav,17,18,0,0,94.44,Lucknow Super Giants,3rd Match (N), Lucknow, April 01
Krunal Pandya,4,not out,15,13,0,1,115.38,Lucknow Super Giants,3rd Match (N), Lucknow, April 01
Marcus Stoinis,5,c †Khan b Ahmed,12,10,0,1,120,Lucknow Super Giants,3rd Match (N), Lucknow, April 01
Nicholas Pooran †,6,c Shaw b Ahmed,36,21,2,3,171.42,Lucknow Super Giants,3rd Match (N), Lucknow, April 01
Ayush Badoni,7,c †Khan b Sakariya,18,7,1,2,257.14,Lucknow Super Giants,3rd Match (N), Lucknow, April 01
Krishnappa Gowtham,8,not out,6,1,0,1,600,Lucknow Super Giants,3rd Match (N), Lucknow, April 01
Prithvi Shaw,1,b Wood,12,9,2,0,133.33,Delhi Capitals,3rd Match (N), Lucknow, April 01
David Warner (c),2,c Gowtham b Avesh Khan,56,48,7,0,116.66,Delhi Capitals,3rd Match (N), Lucknow, April 01
Mitchell Marsh,3,b Wood,0,1,0,0,0,Delhi Capitals,3rd Match (N), Lucknow, April 01
Sarfaraz Khan †,4,c Gowtham b Wood,4,9,1,0,44.44,Delhi Capitals,3rd Match (N), Lucknow, April 01
Rilee Rossouw,5,c Mayers b Ravi Bishnoi,30,20,3,1,150,Delhi Capitals,3rd Match (N), Lucknow, April 01
Rovman Powell,6,lbw b Ravi Bishnoi,1,3,0,0,33.33,Delhi Capitals,3rd Match (N), Lucknow, April 01
Aman Hakim Khan,7,c †Pooran b Avesh Khan,4,5,0,0,80,Delhi Capitals,3rd Match (N), Lucknow, April 01
Axar Patel,8,c sub (PN Mankad) b Wood,16,11,1,1,145.45,Delhi Capitals,3rd Match (N), Lucknow, April 01
