"selection1_Bowler_name","selection1_Bowler_overs","selection1_Bowler_Runs","selection1_Bowler_wickets","selection1_Bowler_maidens","selection1_Bowler_Economy","selection1_Bowler_Dot_balls","selection1_Bowler_Fours","selection1_Bowler_Sixes","selection1_Bowler_wide_balls","selection1_Bowler_No_balls","selection1_Bowler_Match_no","selection1_Bowler_Team"
"Mohammed Shami","4","29","2","0","7.25","13","2","2","0","1","1st Match (N), Ahmedabad, March 31, 2023,
Indian Premier League","Gujarat Titans"
"See all photos","","","","","","","","","","","",""
"Hardik Pandya","3","28","0","0","9.33","6","2","2","0","0","1st Match (N), Ahmedabad, March 31, 2023,
Indian Premier League","Gujarat Titans"
"Josh Little","4","41","1","0","10.25","10","4","3","0","0","1st Match (N), Ahmedabad, March 31, 2023,
Indian Premier League","Gujarat Titans"
"See all photos","","","","","","","","","","","",""
"Rashid Khan","4","26","2","0","6.50","10","2","1","0","0","1st Match (N), Ahmedabad, March 31, 2023,
Indian Premier League","Gujarat Titans"
"See all photos","","","","","","","","","","","",""
"Alzarri Joseph","4","33","2","0","8.25","8","0","3","0","0","1st Match (N), Ahmedabad, March 31, 2023,
Indian Premier League","Gujarat Titans"
"Yash Dayal","1","14","0","0","14.00","2","0","2","0","0","1st Match (N), Ahmedabad, March 31, 2023,
Indian Premier League","Gujarat Titans"
"Deepak Chahar","4","29","0","0","7.25","9","1","2","0","0","1st Match (N), Ahmedabad, March 31, 2023,
Indian Premier League","Chennai Super Kings"
"Tushar Deshpande","3.2","51","1","0","15.30","5","4","4","1","1","1st Match (N), Ahmedabad, March 31, 2023,
Indian Premier League","Chennai Super Kings"
"See all photos","","","","","","","","","","","",""
"Rajvardhan Hangargekar","4","36","3","0","9.00","10","4","1","3","1","1st Match (N), Ahmedabad, March 31, 2023,
Indian Premier League","Chennai Super Kings"
"See all photos","","","","","","","","","","","",""
"Mitchell Santner","4","32","0","0","8.00","7","5","0","0","0","1st Match (N), Ahmedabad, March 31, 2023,
Indian Premier League","Chennai Super Kings"
"Ravindra Jadeja","4","28","1","0","7.00","9","1","1","0","0","1st Match (N), Ahmedabad, March 31, 2023,
Indian Premier League","Chennai Super Kings"
"Umesh Yadav","4","27","1","0","6.75","11","2","1","0","0","2nd Match (D/N), Mohali, April 01, 2023,
Indian Premier League","Kolkata Knight Riders"
"See all photos","","","","","","","","","","","",""
"Tim Southee","4","54","2","0","13.50","7","6","3","0","0","2nd Match (D/N), Mohali, April 01, 2023,
Indian Premier League","Kolkata Knight Riders"
"See all photos","","","","","","","","","","","",""
"Sunil Narine","4","40","1","0","10.00","8","3","2","1","0","2nd Match (D/N), Mohali, April 01, 2023,
Indian Premier League","Kolkata Knight Riders"
"See all photos","","","","","","","","","","","",""
"Varun Chakravarthy","4","26","1","0","6.50","10","2","1","1","0","2nd Match (D/N), Mohali, April 01, 2023,
Indian Premier League","Kolkata Knight Riders"
"See all photos","","","","","","","","","","","",""
"Shardul Thakur","4","43","0","0","10.75","7","4","2","0","1","2nd Match (D/N), Mohali, April 01, 2023,
Indian Premier League","Kolkata Knight Riders"
"Sam Curran","3","38","1","0","12.66","4","3","3","0","0","2nd Match (D/N), Mohali, April 01, 2023,
Indian Premier League","Punjab Kings"
"See all photos","","","","","","","","","","","",""
"Arshdeep Singh","3","19","3","0","6.33","10","2","1","0","0","2nd Match (D/N), Mohali, April 01, 2023,
Indian Premier League","Punjab Kings"
"See all photos","","","","","","","","","","","",""
"Nathan Ellis","3","27","1","0","9.00","8","2","1","0","2","2nd Match (D/N), Mohali, April 01, 2023,
Indian Premier League","Punjab Kings"
"See all photos","","","","","","","","","","","",""
"Sikandar Raza","3","25","1","0","8.33","5","3","0","1","0","2nd Match (D/N), Mohali, April 01, 2023,
Indian Premier League","Punjab Kings"
"See all photos","","","","","","","","","","","",""
